slug,title,shelf,status,kind,problem,proof,stack,repo,preview,asset,solves,shows
projectlens,ProjectLens,product,Public,Runnable decision tool,Change packs and schedules disagree quietly before board meetings,Browser-local demo on Northstar + Riverside synthetic XER pairs; Playwright checks in CI,Python; Playwright; pandas; GitHub Pages,https://github.com/MatthewPaver/ProjectLens,preview.html?app=projectlens,assets/projectlens-thumb.svg,Compares the pack with the schedule and records the decision,Change assurance with human decision; bring-your-own XER
ai-evaluator,Output Gate,product,Public,Regression gate,Prompt and model changes quietly reintroduce known output failures,"Deterministic, in the browser or as a GitHub Action; no model call",Python; GitHub Actions; HTML; JavaScript,https://github.com/MatthewPaver/ai-workflow-evaluator,preview.html?app=ai-evaluator,assets/output-gate.png,Checks saved outputs against required and banned phrases,"A regression gate, not a quality score"
quicksupply,QuickSupply,product,Private,Private workflow MVP,School cover coordination becomes a spreadsheet-and-message chain,"24k-line Next.js app; 14 migrations, SSE, 12 Playwright e2e suites; recorded agency demo",Next.js; TypeScript; PostgreSQL; Drizzle; SSE,,preview.html?app=quicksupply,assets/quicksupply-dashboard.png,Coordinates school cover end to end,Private showcase — video preview only; source stays private
lakehouse,Marketing ML Lakehouse,data,Public,Runnable demo console,Analytics demos often stop at a notebook,Browser evidence console plus CI rebuild from committed demo CSVs,Python; DuckDB; XGBoost; Streamlit; Makefile,https://github.com/MatthewPaver/marketing-ml-lakehouse,preview.html?app=lakehouse,assets/marketing-lakehouse-thumb.svg,Packages local analytics,"Local analytics demo, not a hosted SaaS product"
happening-core,Happening Open Core,automation,Public,Benchmark CLI + demo,Event datasets rarely say how trustworthy they are,Stdlib-only Python; the example run reproduces the README score exactly,Python; JSON; GitHub Actions,https://github.com/MatthewPaver/happening-open-core,preview.html?app=happening-core,assets/happening-core-thumb.svg,"Scores provenance, freshness and coverage in one command",Public benchmark only; private live product parked
sentence,Sentence Similarity Analysis,ml,Public,Study notebook,Similarity is useful but not truth,Notebook + CI on ranking logic; no GitHub Pages app,Python; Jupyter; sentence-transformers; PyTorch,https://github.com/MatthewPaver/sentence-similarity-analysis,preview.html?app=sentence,assets/sentence-similarity-thumb.svg,Compares meaning with embeddings,Study piece — clone the repo (no live Pages demo)
pyspark,PySpark Kafka Streaming,data,Public,Technical examples,Streaming examples are often too big to actually read,CI spark-submit on compact scripts; Docker Kafka round-trip in README,Python; PySpark; Kafka; Docker,https://github.com/MatthewPaver/pyspark-kafka-streaming,preview.html?app=pyspark,assets/pyspark-kafka-thumb.svg,Compact PySpark and Kafka examples that run,Clone-and-run examples — no live Pages demo
hr,HR Performance Analytics,analytics,Public,Handoff package,Dashboard work needs inspectable handoff material,"PBIX, screenshots and methodology PDF in the repo; schema checks on synthetic CSV",Power BI; DAX; CSV; Reporting; PDF exports,https://github.com/MatthewPaver/hr-performance-dashboards,preview.html?app=hr,assets/hr-performance-thumb.svg,Turns HR data into decisions,PBIX handoff package — no live web demo
paper-trading,Paper Trading Research Engine,archive,Archived,Personal research study,Backtest results are easy to cherry-pick and hard to reproduce,Browser console on labelled synthetic fixtures; CI on the research engine,Python; pandas; GitHub Actions; GitHub Pages,https://github.com/MatthewPaver/paper-trading-bot,preview.html?app=paper-trading,assets/paper-trading.png,Walk-forward backtests with provenance-bundled reports,Personal research archive — not a product for others
england,Can England Win It,archive,Archived,Archived scenario app,Single-event tools go stale after the event,Seed-deterministic tests; POSTMORTEM.md explains the archive decision,TypeScript; React; Vite; Vitest,https://github.com/MatthewPaver/can-england-win-it,preview.html?app=england,assets/can-england-win-it.png,"A 10,000-run scenario simulator, archived with a postmortem",Finishing a project honestly
